epoch,loss,ce_loss,contra_loss,val_acc,alignment,uniformity,label_ratio,num_labeled,num_unlabeled
0,0.9334776903453627,0.9060241925088983,0.02745349028784978,0.759,0.6995669948427301,-2.190408562359057,1.0,5000,100000
1,0.6082767593233209,0.5840274534727398,0.0242493111444147,0.8075,0.6618430739954898,-2.3221911380165503,1.0,5000,100000
2,0.4740138618569625,0.45164742908979716,0.02236643286519929,0.807125,0.6240283690000835,-2.3364475902758146,1.0,5000,100000
3,0.44020868445697586,0.4185021896111338,0.02170649612028348,0.72925,0.6070905672876459,-2.3202909795861495,1.0,5000,100000
4,0.40256463853936447,0.38146705690183136,0.021097584480517788,0.828,0.5901376197212621,-2.3152660947096977,1.0,5000,100000
5,0.3916606259973426,0.3705224771248667,0.021138150244951248,0.823625,0.5808718047643963,-2.3329623121964302,1.0,5000,100000
6,0.3656084113999417,0.34488827146981893,0.02072014443968472,0.783,0.5723716067640405,-2.3509203383797095,1.0,5000,100000
7,0.3449836843892148,0.324865941938601,0.020117742058477904,0.797625,0.5582582385916459,-2.342701184122186,1.0,5000,100000
8,0.30151215430937317,0.28161099709962545,0.019901158288121223,0.79925,0.5441770616330599,-2.3735111763602807,1.0,5000,100000
9,0.3180541333399321,0.29843877648052414,0.0196153582318833,0.852875,0.548535594814702,-2.3679296217466654,1.0,5000,100000
10,0.3015304419555162,0.2824500838392659,0.0190803611553029,0.752625,0.5298138951000414,-2.3839027881622314,1.0,5000,100000
11,0.25506801354257685,0.236297333711072,0.018770676890486164,0.823,0.5150935900838751,-2.4133347837548507,1.0,5000,100000
12,0.24561499921899094,0.22747937864378878,0.018135619104692812,0.796,0.4960017125857504,-2.4491561839455054,1.0,5000,100000
13,0.26196609986455816,0.243494849455984,0.018471248741996914,0.82725,0.5042583471850345,-2.426963994377538,1.0,5000,100000
14,0.25533704773375865,0.23709436545246526,0.018242682281293367,0.83125,0.49819795081489965,-2.4622015702097038,1.0,5000,100000
15,0.26013909907717453,0.2416132892432966,0.01852580542234998,0.807625,0.4978600975714232,-2.4571401194522253,1.0,5000,100000
16,0.2534515959651847,0.2350614894377558,0.018390106135293058,0.777125,0.4924853757808083,-2.430513720763357,1.0,5000,100000
17,0.2473091349789971,0.22920771178446317,0.01810142358666972,0.849,0.49049701502448634,-2.4805530748869242,1.0,5000,100000
18,0.24011565039032384,0.2226034049925051,0.01751224578995454,0.808,0.4720112336309333,-2.478275725716039,1.0,5000,100000
19,0.23081360757350922,0.21325034373684934,0.01756326530716921,0.79325,0.4684794827511436,-2.492482637104235,1.0,5000,100000
20,0.204689873676551,0.1876998657458707,0.016990006313120063,0.824,0.461703022843913,-2.5173541872124923,1.0,5000,100000
21,0.23317815520261465,0.21573974427423978,0.017438410046069247,0.79425,0.46882481010336624,-2.4917570038845667,1.0,5000,100000
22,0.23931779751652166,0.22227965609023445,0.017038141230219288,0.787625,0.45378543514954417,-2.498403285679064,1.0,5000,100000
23,0.21683240956381747,0.2003617514120905,0.01647065824976093,0.826875,0.4510586355861865,-2.526093031230726,1.0,5000,100000
24,0.21320117970830516,0.19724834161369423,0.01595283799657696,0.83525,0.43659131934768275,-2.5678327083587646,1.0,5000,100000
25,0.19663842022418976,0.18110992641825424,0.015528495962682524,0.82725,0.4241548290378169,-2.5795530018053556,1.0,5000,100000
26,0.20352182262822202,0.1877437877027612,0.01577803438627406,0.833,0.4199001177361137,-2.5729765766545345,1.0,5000,100000
27,0.1753552407026291,0.16025438159704208,0.015100859889858648,0.852375,0.40263719464603226,-2.6198925093600622,1.0,5000,100000
28,0.19561627428782613,0.18056316046338333,0.015053114706748411,0.813,0.40810771051206085,-2.6079050616214148,1.0,5000,100000
29,0.18007344948618034,0.16569433008369647,0.014379118520178293,0.840375,0.37288852741843775,-2.5949603381909823,1.0,5000,100000
30,0.1735496826862034,0.16003733245949997,0.013512347971922472,0.83,0.36730122252514485,-2.662185731687044,1.0,5000,100000
31,0.15944077466663562,0.14632683521822878,0.013113940673831263,0.836625,0.35553249089341415,-2.6426304390555932,1.0,5000,100000
32,0.1769629493355751,0.16378674695366308,0.013176202087810165,0.830625,0.3558001486878646,-2.690813001833464,1.0,5000,100000
33,0.17622131187664836,0.16329729008047203,0.012924020031565115,0.822625,0.34007540188337626,-2.6364269633042183,1.0,5000,100000
34,0.16004399014146706,0.14738133157554426,0.012662658124769988,0.824,0.3360268771648407,-2.6703214770869206,1.0,5000,100000
